ZONE;AREA
ZONE 1;AREA 1
ZONE 2;AREA 2
ZONE 2;AREA 3
ZONE 2;AREA 4
ZONE 2;AREA 5
ZONE 3;AREA 6
ZONE 3;AREA 7
ZONE 4;AREA 8
ZONE 4;AREA 9
ZONE 5;AREA 10
ZONE 5;AREA 11
ZONE 6;AREA 12
ZONE 6;AREA 13
ZONE 6;AREA 14
ZONE 6;AREA 15
ZONE 6;AREA 16
ZONE 6;AREA 17
ZONE 7;AREA 18
ZONE 7;AREA 19
