ST_MONTH;AREA;COMPETENCY;HOURLY WORKLOAD
M2018_07;AREA 8;LOCALTEST 1;800.59
M2018_07;AREA 8;LOCALTEST 2;497.92
M2018_07;AREA 8;LOCALTEST 3;504.91
M2018_07;AREA 8;LOCALTEST 4;555.6
M2018_07;AREA 8;LOCALTEST 5;0
M2018_07;AREA 8;LOCALTEST 6;6.72
M2018_07;AREA 8;LOCALTEST 7;28.56
M2018_07;AREA 8;LOCALTEST 8;9.76
M2018_07;AREA 8;LOCALTEST 9;0
M2018_07;AREA 8;LOCALTEST 10;0
M2018_07;AREA 8;LOCALTEST 11;3.76
M2018_07;AREA 8;LOCALTEST 12;11.68
M2018_07;AREA 12;LOCALTEST 13;84.57
M2018_07;AREA 12;LOCALTEST 14;142.89
M2018_07;AREA 12;LOCALTEST 15;133.76
M2018_07;AREA 12;LOCALTEST 16;25.37
M2018_07;AREA 12;LOCALTEST 17;190.02
M2018_07;AREA 12;LOCALTEST 18;331.47
M2018_07;AREA 12;LOCALTEST 19;64.2
M2018_07;AREA 12;LOCALTEST 20;26.05
M2018_07;AREA 12;LOCALTEST 21;170.44
M2018_07;AREA 9;LOCALTEST 22;134.95
M2018_07;AREA 9;LOCALTEST 23;160.11
M2018_07;AREA 9;LOCALTEST 24;66.48
M2018_07;AREA 9;LOCALTEST 25;55.04
M2018_07;AREA 9;LOCALTEST 26;21.47
M2018_07;AREA 9;LOCALTEST 27;41.49
M2018_07;AREA 9;LOCALTEST 28;28.32
M2018_07;AREA 5;LOCALTEST 29;12.57
M2018_07;AREA 5;LOCALTEST 30;376.27
M2018_07;AREA 5;LOCALTEST 31;156.44
M2018_07;AREA 5;LOCALTEST 32;19.36
M2018_07;AREA 5;LOCALTEST 33;0
M2018_07;AREA 3;LOCALTEST 34;184.91
M2018_07;AREA 3;LOCALTEST 35;216.56
M2018_07;AREA 3;LOCALTEST 36;69.03
M2018_07;AREA 3;LOCALTEST 37;281.48
M2018_07;AREA 3;LOCALTEST 38;0
M2018_07;AREA 3;LOCALTEST 39;115.45
M2018_07;AREA 4;LOCALTEST 40;481.97
M2018_07;AREA 4;LOCALTEST 41;385.96
M2018_07;AREA 4;LOCALTEST 42;132.28
M2018_07;AREA 4;LOCALTEST 43;99.16
M2018_07;AREA 4;LOCALTEST 44;69.2
M2018_07;AREA 13;LOCALTEST 45;524.97
M2018_07;AREA 13;LOCALTEST 46;192.88
M2018_07;AREA 13;LOCALTEST 47;94.58
M2018_07;AREA 13;LOCALTEST 48;51.23
M2018_07;AREA 13;LOCALTEST 49;87.12
M2018_07;AREA 13;LOCALTEST 50;0
M2018_07;AREA 13;LOCALTEST 51;7.09
M2018_07;AREA 13;LOCALTEST 52;7.54
M2018_07;AREA 2;LOCALTEST 53;1025.49
M2018_07;AREA 2;LOCALTEST 54;17.26
M2018_07;AREA 2;LOCALTEST 55;438.87
M2018_07;AREA 2;LOCALTEST 56;72.04
M2018_07;AREA 2;LOCALTEST 57;347.34
M2018_07;AREA 2;LOCALTEST 58;28.33
M2018_07;AREA 2;LOCALTEST 59;7.6
M2018_07;AREA 10;LOCALTEST 60;444.92
M2018_07;AREA 10;LOCALTEST 61;100.64
M2018_07;AREA 10;LOCALTEST 62;652.44
M2018_07;AREA 10;LOCALTEST 63;188.62
M2018_07;AREA 10;LOCALTEST 64;156.04
M2018_07;AREA 10;LOCALTEST 65;55.61
M2018_07;AREA 10;LOCALTEST 66;319.08
M2018_07;AREA 10;LOCALTEST 67;0
M2018_07;AREA 10;LOCALTEST 68;650.53
M2018_07;AREA 10;LOCALTEST 69;910.97
M2018_07;AREA 10;LOCALTEST 70;668.23
M2018_07;AREA 10;LOCALTEST 71;0.93
M2018_07;AREA 10;LOCALTEST 72;441.88
M2018_07;AREA 10;LOCALTEST 73;49.44
M2018_07;AREA 10;LOCALTEST 74;53.83
M2018_07;AREA 14;LOCALTEST 75;194.32
M2018_07;AREA 14;LOCALTEST 76;76.46
M2018_07;AREA 14;LOCALTEST 77;3.47
M2018_07;AREA 14;LOCALTEST 78;35.13
M2018_07;AREA 14;LOCALTEST 79;7.57
