ST_MONTH;AREA;COMPETENCY;HOURLY WORKLOAD
M2018_04;AREA 1;LOCALTEST 108;451.67
M2018_04;AREA 1;LOCALTEST 109;492.69
M2018_04;AREA 1;LOCALTEST 110;248.24
M2018_04;AREA 1;LOCALTEST 111;238.67
M2018_04;AREA 1;LOCALTEST 112;161.68
M2018_04;AREA 1;LOCALTEST 113;150.59
M2018_04;AREA 1;LOCALTEST 114;101.88
M2018_04;AREA 1;LOCALTEST 115;88.08
M2018_04;AREA 1;LOCALTEST 116;48.16
M2018_04;AREA 1;LOCALTEST 117;0.67
M2018_04;AREA 1;LOCALTEST 118;0
M2018_04;AREA 6;LOCALTEST 119;742.83
M2018_04;AREA 6;LOCALTEST 120;777.77
M2018_04;AREA 6;LOCALTEST 121;820.06
M2018_04;AREA 6;LOCALTEST 122;345.8
M2018_04;AREA 6;LOCALTEST 123;310.46
M2018_04;AREA 6;LOCALTEST 124;245.27
M2018_04;AREA 6;LOCALTEST 125;300.41
M2018_04;AREA 6;LOCALTEST 126;296.17
M2018_04;AREA 6;LOCALTEST 127;123.68
M2018_04;AREA 6;LOCALTEST 128;154.16
M2018_04;AREA 6;LOCALTEST 129;113.88
M2018_04;AREA 6;LOCALTEST 130;100.4
M2018_04;AREA 6;LOCALTEST 131;0
M2018_04;AREA 6;LOCALTEST 132;22.48
M2018_04;AREA 6;LOCALTEST 133;398.16
M2018_04;AREA 6;LOCALTEST 134;3.92
M2018_04;AREA 6;LOCALTEST 135;10.72
M2018_04;AREA 11;LOCALTEST 136;982.71
M2018_04;AREA 11;LOCALTEST 137;440.21
M2018_04;AREA 11;LOCALTEST 138;202.72
M2018_04;AREA 11;LOCALTEST 139;148.16
M2018_04;AREA 11;LOCALTEST 140;42.29
M2018_04;AREA 11;LOCALTEST 141;0
M2018_04;AREA 11;LOCALTEST 142;62.37
M2018_04;AREA 11;LOCALTEST 143;205.8
M2018_04;AREA 11;LOCALTEST 144;2.92
M2018_04;AREA 11;LOCALTEST 145;2.44
M2018_04;AREA 11;LOCALTEST 146;0
M2018_04;AREA 17;LOCALTEST 147;239.31
M2018_04;AREA 17;LOCALTEST 148;445.35
M2018_04;AREA 17;LOCALTEST 149;12.88
M2018_04;AREA 17;LOCALTEST 150;0
M2018_04;AREA 17;LOCALTEST 151;0
M2018_04;AREA 18;LOCALTEST 152;136.52
M2018_04;AREA 18;LOCALTEST 153;0
M2018_04;AREA 18;LOCALTEST 154;190.72
M2018_04;AREA 18;LOCALTEST 155;197.8
M2018_04;AREA 18;LOCALTEST 156;184
M2018_04;AREA 19;LOCALTEST 157;3.89
M2018_04;AREA 19;LOCALTEST 158;401.7
M2018_05;AREA 8;LOCALTEST 1;836.83
M2018_05;AREA 8;LOCALTEST 2;524.08
M2018_05;AREA 8;LOCALTEST 3;537.91
M2018_05;AREA 8;LOCALTEST 4;585.2
M2018_05;AREA 8;LOCALTEST 5;0
M2018_05;AREA 8;LOCALTEST 6;5.12
M2018_05;AREA 8;LOCALTEST 7;48.52
M2018_05;AREA 8;LOCALTEST 8;10.16
M2018_05;AREA 8;LOCALTEST 9;0
M2018_05;AREA 8;LOCALTEST 10;0
M2018_05;AREA 8;LOCALTEST 11;7.2
M2018_05;AREA 8;LOCALTEST 12;11.36
M2018_05;AREA 12;LOCALTEST 13;90.53
M2018_05;AREA 12;LOCALTEST 14;184.21
M2018_05;AREA 12;LOCALTEST 15;146.24
M2018_05;AREA 12;LOCALTEST 16;31.89
M2018_05;AREA 12;LOCALTEST 17;217.18
M2018_05;AREA 12;LOCALTEST 18;431.59
M2018_05;AREA 12;LOCALTEST 19;79
M2018_05;AREA 12;LOCALTEST 20;31.93
M2018_05;AREA 12;LOCALTEST 21;200.12
M2018_05;AREA 9;LOCALTEST 22;147.35
M2018_05;AREA 9;LOCALTEST 23;165.39
M2018_05;AREA 9;LOCALTEST 24;91.28
M2018_05;AREA 9;LOCALTEST 25;57
M2018_05;AREA 9;LOCALTEST 26;29.31
M2018_05;AREA 9;LOCALTEST 27;48.41
M2018_05;AREA 9;LOCALTEST 28;29.6
M2018_05;AREA 5;LOCALTEST 29;12.57
M2018_05;AREA 5;LOCALTEST 30;375.87
M2018_05;AREA 5;LOCALTEST 31;155.8
M2018_05;AREA 5;LOCALTEST 32;58.04
M2018_05;AREA 5;LOCALTEST 33;0
M2018_05;AREA 3;LOCALTEST 34;202.51
M2018_05;AREA 3;LOCALTEST 35;247.8
M2018_05;AREA 3;LOCALTEST 36;70.27
M2018_05;AREA 3;LOCALTEST 37;296.12
M2018_05;AREA 3;LOCALTEST 38;0
M2018_05;AREA 3;LOCALTEST 39;120.57
M2018_05;AREA 4;LOCALTEST 40;496.85
M2018_05;AREA 4;LOCALTEST 41;411.52
M2018_05;AREA 4;LOCALTEST 42;138.72
M2018_05;AREA 4;LOCALTEST 43;107.48
M2018_05;AREA 4;LOCALTEST 44;72.56
M2018_05;AREA 13;LOCALTEST 45;540.81
M2018_05;AREA 13;LOCALTEST 46;195.36
M2018_05;AREA 13;LOCALTEST 47;97.26
M2018_05;AREA 13;LOCALTEST 48;54.79
M2018_05;AREA 13;LOCALTEST 49;89.76
M2018_05;AREA 13;LOCALTEST 50;0
M2018_05;AREA 13;LOCALTEST 51;7.09
M2018_05;AREA 13;LOCALTEST 52;8.3
M2018_05;AREA 2;LOCALTEST 53;974.89
M2018_05;AREA 2;LOCALTEST 54;258.22
M2018_05;AREA 2;LOCALTEST 55;425.79
M2018_05;AREA 2;LOCALTEST 56;155.68
M2018_05;AREA 2;LOCALTEST 57;384.78
M2018_05;AREA 2;LOCALTEST 58;32.45
M2018_05;AREA 2;LOCALTEST 59;7.6
M2018_05;AREA 10;LOCALTEST 60;443.52
M2018_05;AREA 10;LOCALTEST 61;97.72
